"method","combat","module","size","bin_size_used","n_mapped_genes","physical_ppi_n_covered","physical_ppi_mean_score","physical_ppi_null_mean_of_means","physical_ppi_p_enrichment","detailed_coexpr_n_covered","detailed_coexpr_mean_score","detailed_coexpr_null_mean_of_means","detailed_coexpr_p_enrichment","detailed_combined_n_covered","detailed_combined_mean_score","detailed_combined_null_mean_of_means","detailed_combined_p_enrichment"
"hub_anchored","unprotected","Vitvi04g01375",37,32,16,0,NA,359.213003663004,NA,4,287,81.6212033011656,0.025,4,319.5,284.404831147356,0.265
"hub_anchored","unprotected","Vitvi04g01550",895,988,737,1298,411.593220338983,352.79111303089,0.00497512437810945,11524,137.754772648386,85.2052039570005,0.00497512437810945,11524,322.677716070809,290.503868750273,0.00497512437810945
"hub_anchored","unprotected","Vitvi04g01887",356,344,286,108,421.740740740741,348.091169151929,0.0199004975124378,1142,77.2644483362522,83.2138972480946,0.641791044776119,1142,302.084063047285,288.083500130173,0.139303482587065
"hub_anchored","unprotected","Vitvi04g02114",22,19,19,0,NA,307.826086956522,NA,0,NA,77.4408630328442,NA,0,NA,277.562136867326,NA
"hub_anchored","unprotected","Vitvi04g04010",60,54,27,0,NA,338.656672932331,NA,12,106.333333333333,83.1117834073636,0.263681592039801,12,206.666666666667,289.087957385556,0.965174129353234
"hub_anchored","unprotected","Vitvi04g04011",68,71,32,2,405,357.577000616919,0.298913043478261,20,99.5,82.4974689396933,0.238805970149254,20,264.2,286.508573033137,0.676616915422886
"hub_anchored","unprotected","Vitvi04g04029",18,19,4,0,NA,307.826086956522,NA,0,NA,77.4408630328442,NA,0,NA,277.562136867326,NA
"hub_anchored","unprotected","Vitvi05g00108",431,448,348,200,397.69,351.372500318086,0.0447761194029851,1934,106.642192347466,84.0404451810603,0.0447761194029851,1934,302.918304033092,289.468937543945,0.154228855721393
"hub_anchored","unprotected","Vitvi05g00675",184,203,152,22,520.818181818182,350.127770229196,0.00497512437810945,264,64.3484848484848,84.2859398615658,0.880597014925373,264,280.333333333333,289.294846688071,0.651741293532338
"hub_anchored","unprotected","Vitvi05g00726",56,54,43,0,NA,338.656672932331,NA,22,54.9090909090909,83.1117834073636,0.711442786069652,22,248.909090909091,289.087957385556,0.825870646766169
"hub_anchored","unprotected","Vitvi05g01579",76,71,23,0,NA,357.577000616919,NA,2,0,82.4974689396933,1,2,281,286.508573033137,0.532338308457711
"hub_anchored","unprotected","Vitvi05g01674",113,120,95,12,462.833333333333,347.876205335917,0.075,172,68.6279069767442,83.9709386086409,0.72636815920398,172,272.662790697674,286.379146520562,0.686567164179104
"hub_anchored","unprotected","Vitvi05g02234",86,92,35,0,NA,330.185634296459,NA,2,0,86.0477364795512,1,2,159,286.903427936747,1
"hub_anchored","unprotected","Vitvi05g04062",52,54,24,0,NA,338.656672932331,NA,6,58,83.1117834073636,0.666666666666667,6,200.333333333333,289.087957385556,0.985074626865672
"hub_anchored","unprotected","Vitvi05g04232",34,32,18,2,893,359.213003663004,0.0217391304347826,10,209,81.6212033011656,0.03,10,416,284.404831147356,0.085
"hub_anchored","unprotected","Vitvi05g04487",62,54,25,0,NA,338.656672932331,NA,4,89,83.1117834073636,0.388059701492537,4,239,289.087957385556,0.870646766169154
"hub_anchored","unprotected","Vitvi05g04494",95,92,37,0,NA,330.185634296459,NA,6,59.3333333333333,86.0477364795512,0.786069651741294,6,267,286.903427936747,0.73134328358209
"hub_anchored","unprotected","Vitvi06g01410",74,71,53,0,NA,357.577000616919,NA,8,12,82.4974689396933,1,8,212.75,286.508573033137,0.985074626865672
"hub_anchored","unprotected","Vitvi06g01618",102,92,49,0,NA,330.185634296459,NA,20,157.7,86.0477364795512,0.0348258706467662,20,240.1,286.903427936747,0.930348258706468
"hub_anchored","unprotected","Vitvi06g04121",69,71,36,2,151,357.577000616919,0.994565217391304,26,195.153846153846,82.4974689396933,0.00995024875621891,26,270.230769230769,286.508573033137,0.631840796019901
"hub_anchored","unprotected","Vitvi07g00283",31,32,24,0,NA,359.213003663004,NA,2,108,81.6212033011656,0.29,2,493,284.404831147356,0.025
"hub_anchored","unprotected","Vitvi07g00523",745,759,615,934,386.807280513919,350.836072964527,0.0298507462686567,8616,131.198932219127,85.1665906088633,0.00497512437810945,8616,318.158310120706,289.798024284509,0.00497512437810945
"hub_anchored","unprotected","Vitvi07g00890",108,120,42,6,286.666666666667,347.876205335917,0.76,16,85.5,83.9709386086409,0.462686567164179,16,367.375,286.379146520562,0.00995024875621891
"hub_anchored","unprotected","Vitvi07g01267",775,759,631,208,298.567307692308,350.836072964527,1,3600,41.4872222222222,85.1665906088633,1,3600,243.797222222222,289.798024284509,1
"hub_anchored","unprotected","Vitvi07g01315",92,92,36,0,NA,330.185634296459,NA,8,59.5,86.0477364795512,0.786069651741294,8,170,286.903427936747,1
"hub_anchored","unprotected","Vitvi07g01342",439,448,336,430,532.869767441861,351.372500318086,0.00497512437810945,1816,112.878854625551,84.0404451810603,0.0248756218905473,1816,371.944933920705,289.468937543945,0.00497512437810945
