"dataset","series","n_tests","AggrDiv_min","AggrDiv_max","zscore_min","zscore_max","steepness_post_jump","pct_genes_75pct_min","pct_genes_75pct_max","pattern_in_time"
"Chitarrini2020","cross_condition_inoculated_vs_mock",2,0.203501933225455,0.221470044883545,1.82370590860408,2.23409490721982,0.0341990832179783,13.4734191162004,13.953488372093,"plateau / flat"
"Chitarrini2020","within_inoculated",3,0.47208057655617,1.68241042286931,2.6558887154808,2.84115144145211,0.092631362985655,15.4015661275725,17.2234683036241,"plateau / flat"
"Chitarrini2020","within_mock",5,0.62577704745583,2.42681370257176,2.52880440373797,2.86264864516072,-0.0372251445455599,15.2048164325345,18.0498170227836,"plateau / flat"
"OwnStudy","OwnStudy_cross_genotype_Rpv12",3,1.21364459936488,2.07908650137008,0.634397315049363,3.01769364521784,-0.162438860932395,11.3034506477129,12.3810615613894,"reverting toward baseline"
"OwnStudy","OwnStudy_cross_genotype_Rpv12_1",3,1.36229667329954,1.76028750997666,0.947206066519569,2.22588550302839,-0.0808255308627017,9.91631319500172,12.5377354885552,"plateau / flat"
"OwnStudy","OwnStudy_cross_genotype_Rpv12_1_3",3,1.56848778493265,2.20521304404153,2.01118806223515,2.72095607582987,0.0237406363668794,11.3989835301311,12.178531850663,"plateau / flat"
"OwnStudy","OwnStudy_within_Rpv12",2,1.76643179584308,1.82501646818632,2.72750394147003,2.86182571637413,0.1343217749041,10.7073254614238,15.9616339944209,"plateau / flat"
"OwnStudy","OwnStudy_within_Rpv12_1",2,0.995003359607662,1.5234498414086,2.48138663266043,2.74013280997119,-0.25874617731076,13.0727196300967,13.8943024188926,"reverting toward baseline"
"OwnStudy","OwnStudy_within_Rpv12_1_3",2,0.32324750696988,0.538982342117435,2.02861546986981,2.44896427352067,0.42034880365086,13.1606098819214,14.2764339485651,"growing over time"
"OwnStudy","OwnStudy_within_Susceptible",2,0.348972692565458,0.657347349956967,1.94780359398466,2.23195827171811,0.28415467773345,13.1491459360312,14.6356375864573,"growing over time"
"Shi2024","cross_cultivar_MV102_vs_MV32",4,1.02290331146509,1.95085424143663,1.85903753477506,2.7569567455519,0.0673448273887984,9.75958786491128,11.763022323984,"plateau / flat"
"Shi2024","within_G5_bonus",2,3.09293773459566,3.2208009574445,2.3883438843059,2.79810592633498,0.40976204202908,12.5486545946861,13.8729057370113,"growing over time"
"Shi2024","within_MV102",6,1.20570285761121,5.32926900621472,2.53816247750007,2.8885409115346,-0.044302202239186,10.5732275738,13.889116035653,"plateau / flat"
"Shi2024","within_MV32",6,0.921563280685797,5.74278935335554,1.91490680943411,2.12602145850142,-0.038532184532742,11.8570610843078,15.5450159457028,"plateau / flat"
"Shi2024","within_Syrah_background",10,1.04681587352523,6.95439983367067,2.82542074143533,2.90547145728251,0.00865337237612001,11.8928363424578,15.1621044457387,"plateau / flat"
