dataset,series,contrast,pct_genes_for_50pct,pct_genes_for_75pct,pct_genes_for_80pct,pct_genes_for_90pct,pct_genes_for_95pct
Shi2024,within_MV102,T1_vs_T0,3.64706844386295,10.5732275738,13.2226674298798,22.5406819854444,32.7663750102216
Shi2024,within_MV102,T2_vs_T0,4.31760569138932,12.2250388420967,15.2424564559653,25.4272630632104,36.2253659334369
Shi2024,within_MV102,T3_vs_T0,4.23583285632513,11.7957314580096,14.6373374764903,24.5522937280235,35.2768010466923
Shi2024,within_MV102,T4_vs_T0,5.02494071469458,13.2431106386458,16.2768828195274,26.6538555891733,37.5623517867364
Shi2024,within_MV102,T5_vs_T0,5.32750020443209,13.889116035653,17.0619020361436,27.7455229372802,38.9402240575681
Shi2024,within_MV102,T6_vs_T0,5.38065254722381,13.8359636928612,16.9596859923134,27.5737999836454,38.7276146864012
Shi2024,within_MV32,T1_vs_T0,4.19903508054624,11.8570610843078,14.7313762368141,24.4541663259465,34.6921252759833
Shi2024,within_MV32,T2_vs_T0,4.68149480742497,12.8833101643634,16.0152097473219,26.4943985607981,37.4478698176466
Shi2024,within_MV32,T3_vs_T0,4.93499059612397,13.9749775124704,17.5157412707499,29.614032218497,41.552866137869
Shi2024,within_MV32,T4_vs_T0,5.06173849047346,14.1221686155859,17.5934254640608,29.340093221032,41.1031155450159
Shi2024,within_MV32,T5_vs_T0,5.80587128955761,14.9071878322021,18.2884945621065,29.5690571592117,40.9600130836536
Shi2024,within_MV32,T6_vs_T0,5.90399869163464,15.5450159457028,19.1839071060594,31.1431842341974,42.8775860659089
Shi2024,within_Syrah_background,DEV02_vs_DEV01,3.79343816734615,11.8928363424578,15.088332362648,25.9794214715589,37.3985633857503
Shi2024,within_Syrah_background,DEV03_vs_DEV01,4.55833818675985,12.2034556396816,15.2086973403223,25.4863133372161,36.4550572704329
Shi2024,within_Syrah_background,DEV04_vs_DEV01,4.75247524752475,12.8013977868375,15.9114735002912,26.6394874781596,37.8450786255096
Shi2024,within_Syrah_background,DEV05_vs_DEV01,5.06309454474859,12.9916521063871,16.0007765482431,26.3793438167346,37.4490390215492
Shi2024,within_Syrah_background,DEV06_vs_DEV01,4.69423412929528,12.5567850902737,15.5853232382062,26.2434478741992,37.5616385167929
Shi2024,within_Syrah_background,DEV07_vs_DEV01,4.79130265967773,12.7548048922539,15.7833430401864,26.2046204620462,37.4024461269656
Shi2024,within_Syrah_background,DEV08_vs_DEV01,4.79518540089303,12.820811492914,15.9503009124442,26.7715006794797,38.2682974179771
Shi2024,within_Syrah_background,DEV09_vs_DEV01,4.98543972044263,13.445932828577,16.742380120365,27.9673849737915,39.7049116676374
Shi2024,within_Syrah_background,DEV10_vs_DEV01,5.8202290817317,15.0999805862939,18.5750339739856,30.331974373908,42.0772665501844
Shi2024,within_Syrah_background,DEV11_vs_DEV01,5.89011842360707,15.1621044457387,18.6177441273539,30.0834789361289,41.5569792273345
Shi2024,within_G5_bonus,T2_vs_T1,5.30969707226265,13.8729057370113,16.8725672702657,26.7261804027754,36.8971061093248
Shi2024,within_G5_bonus,T3_vs_T1,4.63276358097817,12.5486545946861,15.4933152817736,25.1819258757827,35.7124724995769
Shi2024,cross_cultivar_MV102_vs_MV32,T0,3.4549022814621,10.8635211382779,13.9381797366915,25.243274184316,37.4519584593998
Shi2024,cross_cultivar_MV102_vs_MV32,T1,2.91111292828522,9.75958786491128,12.5848393163791,22.7287595060921,34.4999591135825
Shi2024,cross_cultivar_MV102_vs_MV32,T4,3.4549022814621,9.97219723607818,12.6175484504048,21.9110311554502,32.3656881184071
Shi2024,cross_cultivar_MV102_vs_MV32,T6,4.15814866301415,11.763022323984,14.6741352522692,24.5972687873089,34.7084798429962
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_0hpi,4.60468493255379,12.3810615613894,15.2164775115595,24.7391952309985,34.9726775956284
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_6hpi,4.03530895334174,11.7925790056938,14.7005999465016,24.6169131415033,35.0911383698269
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_24hpi,3.77545951316443,11.3034506477129,14.2191142191142,24.162176621193,34.8886086591005
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_1_0hpi,4.53972257250946,12.5377354885552,15.5183614200008,25.3085712102106,35.5726240972143
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_1_6hpi,3.94741870151706,11.6282624479346,14.444571821621,23.6997974702893,33.574076197027
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_1_24hpi,3.34365088463449,9.91631319500172,12.5491994344453,21.7165348312889,31.6825251251481
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_1_3_0hpi,4.10409262868279,11.3989835301311,14.1121173908059,23.1304214910772,32.8289197141656
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_1_3_6hpi,4.59322098666361,12.178531850663,14.9069509725247,24.0246092705109,33.7804272230502
OwnStudy,cross_genotype_vs_Susceptible,Rpv12_1_3_24hpi,3.93213344033016,12.1059268600252,15.2126561962628,25.5263861821239,36.2337116435477
Chitarrini2020,within_mock,12h_vs_0h,6.56356982646677,17.5422028095856,21.3866918506276,33.3136583638295,44.4929760358871
Chitarrini2020,within_mock,24h_vs_0h,6.85082438122221,18.0498170227836,21.9848109235431,34.2580569000118,45.6813441939165
Chitarrini2020,within_mock,48h_vs_0h,6.10317554007791,16.6646991697163,20.4501633022469,32.4636996812655,43.9617518592846
Chitarrini2020,within_mock,96h_vs_0h,5.41455160744501,15.2048164325345,18.8919057175461,30.8070672490458,42.5018691221029
Chitarrini2020,within_mock,120h_vs_0h,5.82379097312399,16.0036201943887,19.7221894306064,31.834100657144,43.5525124936056
Chitarrini2020,within_inoculated,24h_vs_12h,6.56750482036753,17.2234683036241,20.9499075276433,32.6643843702042,44.0129067799945
Chitarrini2020,within_inoculated,48h_vs_12h,5.55227639397159,15.4015661275725,18.9194506748515,29.968913548184,40.7350568606619
Chitarrini2020,within_inoculated,96h_vs_12h,5.70574115610121,15.7635855664424,19.5096997599654,31.6019360169992,43.3557627985677
Chitarrini2020,cross_condition_inoculated_vs_mock,12hpi,5.39881163184197,13.953488372093,17.1250934561051,27.4308424821942,37.8467713375044
Chitarrini2020,cross_condition_inoculated_vs_mock,24hpi,5.17058198559792,13.4734191162004,16.5427143587927,26.6281037264392,36.83941289891
Froussios2019,inter_experiment_ExpB_vs_ExpA,ExpB_vs_ExpA,6.68576136854082,16.2671165692314,19.582532271354,30.3095695844941,41.2563267548162
Froussios2019,intra_ExpA_replicate_splits,split1,5.5596971004826,14.4112684898183,17.77376701848,28.8578490995409,40.0007847137757
Froussios2019,intra_ExpA_replicate_splits,split2,5.36744222544827,13.7717267626633,16.9105818652646,27.5238356809354,38.5608349354573
Froussios2019,intra_ExpA_replicate_splits,split3,4.32769647271158,11.0134578412524,13.720720367246,23.5806489582925,34.5587946796406
Froussios2019,intra_ExpA_replicate_splits,split4,4.48463922784164,11.0487699611567,13.5441597677247,22.5997567387295,33.1894691411308
Froussios2019,intra_ExpA_replicate_splits,split5,3.68030760780005,9.00459057558755,10.9820692902264,18.3701494879743,27.8024090712912
Froussios2019,intra_ExpA_replicate_splits,split6,4.90446109781457,12.8379173696394,15.9257660768235,26.5272491858595,37.6819555067289
Froussios2019,intra_ExpA_replicate_splits,split7,3.81763251853886,10.2208969278456,12.7555224231961,21.8385843763487,32.5420802762193
Froussios2019,intra_ExpA_replicate_splits,split8,3.99026954918194,10.2169733589673,12.6181975124573,21.5325460038451,32.0790991485856
Froussios2019,intra_ExpA_replicate_splits,split9,3.57044767920901,9.02813198885706,11.1233177698434,18.8605955977557,28.3320908698552
Froussios2019,intra_ExpA_replicate_splits,split10,3.71169615882607,9.41656530780398,11.6608467061639,19.9945070035704,30.074155451799
Froussios2019,intra_ExpA_replicate_splits,split11,3.96672813591243,10.1541962569153,12.5632675481618,21.5835523992624,32.2321183348374
Froussios2019,intra_ExpA_replicate_splits,split12,4.147212304312,10.4131518028799,12.8614587829089,21.9562914426963,32.7971122533056
Froussios2019,intra_ExpA_replicate_splits,split13,4.19429513085102,10.9820692902264,13.6344018519245,23.011731470946,33.70738023306
Froussios2019,intra_ExpA_replicate_splits,split14,3.87256248283439,9.97763565739397,12.3357005532232,20.8655392945423,30.8745635029623
Froussios2019,intra_ExpA_replicate_splits,split15,4.00596382469494,10.4523874916624,12.9987836936477,22.0269156825048,32.3733668144544
Froussios2019,intra_ExpA_replicate_splits,split16,4.94762035547534,12.9713187115,15.9689253344842,26.1858986934516,37.0894966061129
Froussios2019,intra_ExpA_replicate_splits,split17,4.16683014870326,11.0369992545219,13.7285675050025,23.5374897006317,34.6686546082316
Froussios2019,intra_ExpA_replicate_splits,split18,4.00988739357319,10.3817632518539,12.8810766273002,22.0269156825048,32.8049593910621
Froussios2019,intra_ExpA_replicate_splits,split19,3.80978538078236,9.42441244556048,11.6686938439204,20.2495389806568,30.7254678855887
Froussios2019,intra_ExpA_replicate_splits,split20,3.50374700827873,8.89865421587476,11.0252285478872,18.9547612508338,28.5439635892808
Froussios2019,intra_ExpA_replicate_splits,split21,3.64891905677404,9.12622121081336,11.256719111704,19.1509396947463,28.8617726684192
Froussios2019,intra_ExpA_replicate_splits,split22,3.69600188331306,9.53427237415153,11.833483736807,20.5202652332562,31.0707419468749
Froussios2019,intra_ExpA_replicate_splits,split23,4.11582375328599,10.8212029662181,13.4382234080119,23.0313493153372,34.1036606897634
Froussios2019,intra_ExpA_replicate_splits,split24,3.84509750068662,10.040412759446,12.5122611527445,21.5207752972103,32.008474908777
Froussios2019,intra_ExpA_replicate_splits,split25,3.96280456703417,10.0992662926198,12.4612547573273,21.218660493585,31.5258759367521
Froussios2019,intra_ExpA_replicate_splits,split26,3.70777258994782,8.80841213167497,10.8015851218268,18.1151175108879,27.1667909130145
Froussios2019,intra_ExpA_replicate_splits,split27,3.35857495978342,8.1570996978852,10.0129477772982,17.1695374112293,26.6488798210853
Froussios2019,intra_ExpA_replicate_splits,split28,3.97849884254718,10.3032918742889,12.8104523874917,22.1367756110959,32.9775964217052
Froussios2019,intra_ExpA_replicate_splits,split29,3.91964530937341,10.5230117314709,13.1047200533605,22.482049672382,33.0403735237572
Froussios2019,intra_ExpA_replicate_splits,split30,4.42186212578962,11.5274453643034,14.1523129438537,23.3726998077451,33.9074822458508
Froussios2019,intra_ExpA_replicate_splits,split31,4.47286852120689,11.6726174127987,14.4622748852356,24.1299486012477,34.813826656727
Froussios2019,intra_ExpA_replicate_splits,split32,4.14328873543375,10.6250245223055,13.2655863773689,22.8626358535724,33.7740809039903
Froussios2019,intra_ExpA_replicate_splits,split33,4.83383685800604,12.0571271628673,14.8624789108173,24.9342802212893,36.0811394044022
Froussios2019,intra_ExpA_replicate_splits,split34,4.76321261819751,12.7476752854396,15.9257660768235,26.8685996782674,38.2234080119277
Froussios2019,intra_ExpA_replicate_splits,split35,6.11684388119433,15.7492054773022,19.1470161258681,30.2114803625378,41.2680974614509
Froussios2019,intra_ExpB_replicate_splits,split1,4.55918703652843,12.7751402675874,16.0238552987798,26.4291599639032,37.0581080550869
