"series","from_stage","to_stage","to_contrast","d_stage","d_AggrDiv","slope_AggrDiv_per_stage","d_zscore","slope_zscore_per_stage"
"within_MV102",0,1,"T1_vs_T0",1,1.20570285761121,1.20570285761121,2.79773829607431,2.79773829607431
"within_MV102",1,2,"T2_vs_T0",1,0.79869632960331,0.79869632960331,-0.25957581857424,-0.25957581857424
"within_MV102",2,3,"T3_vs_T0",1,0.86274741955266,0.86274741955266,0.33723440204465,0.33723440204465
"within_MV102",3,4,"T4_vs_T0",1,1.54696341483558,1.54696341483558,0.0131440319898801,0.0131440319898801
"within_MV102",4,5,"T5_vs_T0",1,0.547759121250451,0.547759121250451,-0.33076268600151,-0.33076268600151
"within_MV102",5,6,"T6_vs_T0",1,0.36739986336151,0.36739986336151,0.01844905934529,0.01844905934529
"within_MV32",0,1,"T1_vs_T0",1,0.921563280685797,0.921563280685797,2.12602145850142,2.12602145850142
"within_MV32",1,2,"T2_vs_T0",1,1.60571348744233,1.60571348744233,-0.21111464906731,-0.21111464906731
"within_MV32",2,3,"T3_vs_T0",1,0.54152828551061,0.54152828551061,0.0135520174711901,0.0135520174711901
"within_MV32",3,4,"T4_vs_T0",1,0.23731695588837,0.23731695588837,-0.00210476759298994,-0.00210476759298994
"within_MV32",4,5,"T5_vs_T0",1,2.43666734382843,2.43666734382843,0.0105103664125699,0.0105103664125699
"within_MV32",5,6,"T6_vs_T0",1,-0.514061934241569,-0.514061934241569,-0.00350388988716999,-0.00350388988716999
"within_Syrah_background",0,2,"DEV02_vs_DEV01",2,1.04681587352523,0.523407936762615,2.82542074143533,1.41271037071766
"within_Syrah_background",2,3,"DEV03_vs_DEV01",1,1.16035039179488,1.16035039179488,0.04521599526743,0.04521599526743
"within_Syrah_background",3,4,"DEV04_vs_DEV01",1,0.99150539097663,0.99150539097663,0.0117629714456,0.0117629714456
"within_Syrah_background",4,5,"DEV05_vs_DEV01",1,0.10049292798938,0.10049292798938,0.0070073734468501,0.0070073734468501
"within_Syrah_background",5,6,"DEV06_vs_DEV01",1,0.26044818777065,0.26044818777065,-0.000906516796669976,-0.000906516796669976
