"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	-0.0420083793459281	0.828460245079243	1	0.897647240538204	1	0.0420083793459279	"F6HQV9"
"Vitvi01g04001"	0.161271674493679	0.406525782673726	0.7	0.591579447633251	0.820271359484148	-0.16127167449368	"D7UC20"
"Vitvi01g04002"	-0.645255312015428	0.00147458719151204	0.1	0.0496779130714254	0.249942693409742	0.645255312015427	"F6HF07"
"Vitvi01g04003"	0.0302752684952486	0.846210241602649	0.7	0.9090507312192	0.820271359484148	-0.0302752684952488	NA
"Vitvi01g04004"	-0.100054487629688	0.276202868882908	0.4	0.474312109134197	0.608333817632359	0.100054487629688	"F6HYH6"
"Vitvi01g04005"	-0.821095875367178	0.0164682581443104	0.1	0.122771442941611	0.249942693409742	0.821095875367177	"D7SQ27"
"Vitvi01g00002"	-0.693665502888838	0.0930684540794242	0.1	0.273591145226292	0.249942693409742	0.693665502888837	"F6HF06"
"Vitvi01g00005"	0.00485503044066489	0.958605302694878	0.7	0.976516881397574	0.820271359484148	-0.00485503044066604	"F6HF05"
"Vitvi01g01834"	-0.634838749587725	0.301506021318748	0.4	0.497751216832592	0.608333817632359	0.634838749587724	"F6HF04"
"Vitvi01g00006"	0.1075628493787	0.233779041993645	0.4	0.432448537812638	0.608333817632359	-0.1075628493787	"F6HF03"
"Vitvi01g01835"	-0.845011839025584	0.0835754908678315	0.1	0.258124279537387	0.249942693409742	0.845011839025584	"F6HF02"
"Vitvi01g01836"	0.126749936291706	0.391770082453579	0.7	0.579073668311296	0.820271359484148	-0.126749936291707	"F6HF01"
"Vitvi01g00008"	0.394582778010267	0.0135109508662316	0.1	0.113730638398151	0.249942693409742	-0.394582778010267	"Q6E6S7"
"Vitvi01g00011"	0.352338208198186	0.22216894490315	0.4	0.420082306298449	0.608333817632359	-0.352338208198187	"D7T9Z7"
"Vitvi01g00012"	-0.14446296465159	0.0349251433180926	0.1	0.17202174985398	0.249942693409742	0.14446296465159	"F6HF00"
"Vitvi01g01837"	-0.0436761867153946	0.663738772787345	0.7	0.789984079004504	0.820271359484148	0.043676186715393	"F6HEZ9"
"Vitvi01g00014"	-0.409599218802921	0.213395304443685	0.4	0.411581789651149	0.608333817632359	0.40959921880292	"D7T9Z3"
"Vitvi01g01838"	-0.522568553504955	0.101023142721437	0.1	0.284878730805742	0.249942693409742	0.522568553504954	"F6HEZ8"
"Vitvi01g00015"	0.0377109465480065	0.715035094578564	1	0.826856093240231	1	-0.0377109465480067	"F6HEZ7"
