"PC1","PC2","PC3","PC4","PC5","PC6","gene"
0.0010309400852295,-0.00249731905168913,0.00196525779109259,0.00189967305240076,-0.00180275695256125,-0.00191021320832299,"Vitvi01g04000"
0.0042503078098365,-0.000386824788568328,0.00552037532653016,0.000832751956632109,0.00404467946421873,-0.00323198275053156,"Vitvi01g04001"
0.00390118780599371,-0.0148875983650196,-0.00495143273245435,-0.00424526540684118,0.00855189748678635,0.00222042117850445,"Vitvi01g04002"
-0.000306619914255963,-0.00112615237720713,-0.000146676979298739,-9.54531343572756e-05,-0.000830358379237764,0.000781803817936944,"Vitvi01g04003"
0.00133268914879179,-0.0026591286374357,0.000317645450883391,0.000895054654776369,0.00142861881906191,-0.00191323715258341,"Vitvi01g04004"
0.0010991823198634,-0.0128041611433561,-0.00317880818205797,-0.00277451846153719,0.00438784615958055,0.00218862360112639,"Vitvi01g04005"
-0.0159362902300202,6.70672630952657e-05,-0.00663405906405133,0.00108526850647251,0.00876768980313506,-0.00305886632399847,"Vitvi01g00002"
0.000387408204883954,-0.00105557779724326,-0.000215745520107293,0.000295624627651262,0.00231104741091847,-0.00177209981781671,"Vitvi01g00005"
-0.00384564657726834,0.000724718015469054,-1.14303563497773e-05,-0.00391944102563339,-0.0031807440447402,0.000402540589263196,"Vitvi01g01834"
0.00253774161311741,-0.00034677871147063,0.00142395188904681,0.000232938389672759,-0.000538723920174713,-0.00139887172176769,"Vitvi01g00006"
-0.0134203704909486,0.00399505637224336,0.000123152734724676,-0.00707091985089996,-0.00657671543673216,0.00238096400358545,"Vitvi01g01835"
-0.000919998154799419,0.00105453059899828,-0.00186815438263228,0.00292737018373284,-0.00118397611851808,0.00106909403757343,"Vitvi01g01836"
-0.00103349009306883,0.003166322546996,-0.00039733372197526,-0.00125509111639793,0.000353094667547503,-0.00113909059449066,"Vitvi01g00008"
-0.00390706040090694,0.00514493727708945,-0.000121420852865472,-0.000427046083193399,-0.00204997374900295,-0.00691536382243342,"Vitvi01g00011"
-0.00908190612186364,0.00214869292290129,-0.0110512228838564,0.00259711002917156,0.0163033240707832,-0.00354784958979744,"Vitvi01g00012"
-0.00620497659852637,0.00375253502507826,-0.00254448546748337,0.00751876565194212,0.00498821822692617,-0.000421599116025356,"Vitvi01g01837"
-0.00253455682708556,-0.00199257061118538,0.00296558976849511,-0.000138706320266926,-0.00262034375493332,-0.00879994383803194,"Vitvi01g00014"
-0.00496067009862618,-0.000384351076181075,0.00343826598554134,0.0058050429197561,0.00413203433549535,-0.00652641363956856,"Vitvi01g01838"
0.00072141442469538,-0.000560354047545111,2.43477278353097e-05,-0.00116883923067633,-0.000899900875180935,-0.000422415032796765,"Vitvi01g00015"
-0.000214892708507275,-0.000556758289928353,-0.00053179753085531,-0.000226829886152577,0.000399764223930491,-0.000577402983376724,"Vitvi01g00019"
0.00237032945893662,0.00315263951939813,-0.000462208189540428,-0.00265558308769413,-0.00210388231893188,0.000653256106866992,"Vitvi01g00023"
0.00147389406633995,-0.00160674282828117,0.00065992442812675,-0.00303795134847957,-0.00377818765629297,0.00301196885087283,"Vitvi01g00024"
0.00602569164641871,0.0036710565569904,0.000329359763252784,-0.00308767945545745,-0.00418628480867161,0.000713966345557395,"Vitvi01g00025"
-0.00208588572379258,0.00152452469677453,0.00487704217825286,0.00416884583708272,0.0060301633192457,0.00225152601381788,"Vitvi01g00026"
0.00154855487126949,0.00286288525393687,0.00151182708915415,-0.00407187039582341,0.00112864644201261,-0.00204155143026092,"Vitvi01g00027"
0.000486951493615223,0.00188359807092255,-0.00145146303631644,-0.00120835382145357,-0.00135173406928879,-0.000513047625222903,"Vitvi01g04008"
0.00237395704807002,0.000823345765856953,-0.00107142628278271,-0.00145770544227678,0.00232204169368679,0.00301668876273011,"Vitvi01g00028"
0.00190480110913431,0.000219374950736369,0.0019989624545426,-0.000453843989013214,-0.00098178867838697,0.000906565315097191,"Vitvi01g00029"
0.00411653395595755,0.00662493160897234,0.00433622983083095,0.0125532297901648,0.00599647079580679,0.00877472011970105,"Vitvi01g00031"
-0.00658197084950459,0.00197829271674688,-0.00342336117101265,-0.00154939106366326,-0.00167540085365742,0.00257239384660094,"Vitvi01g00033"
0.00650168204970296,-0.00131514110974729,0.00279594772949935,0.0168680570899944,0.000137506862593911,0.00200329459730654,"Vitvi01g00034"
0.00359226300774869,0.000618057668535125,-0.00072472645496616,-0.00012524010456378,-0.00259688928638243,-3.4261795653965e-05,"Vitvi01g00035"
-0.00976476009336243,0.00480444208238905,0.00119900876346537,0.0130743420505374,-0.00186152006565087,-0.0207755058107429,"Vitvi01g00036"
0.00286932202619968,-0.00201783422240362,0.00255571771940282,0.00653212637214566,0.00388998819800576,0.000755804469788029,"Vitvi01g00037"
0.00131874028104952,-0.001738358408112,0.00119827659140018,0.00413310152587664,0.00532652351021363,0.00317827362694667,"Vitvi01g00038"
0.00263244371939075,-0.000866047373126661,-0.0021165013443361,-0.00141092902592281,0.000369307971227434,-0.00280841356634274,"Vitvi01g01840"
0.00103479442336886,-0.00245396008640924,-0.000150205569696661,0.000170239928131176,0.00231742336448709,-3.99722870293074e-05,"Vitvi01g00039"
0.000366709508840354,0.00103560676358484,0.000328542254208429,-0.000415809841827685,0.00253946782609011,0.00521928297987384,"Vitvi01g00041"
0.00170458103030306,0.000592329176292111,0.0013032518229206,-0.00134692236306011,0.0020228259022152,0.0030977956764061,"Vitvi01g04009"
0.00060530086211463,-0.00100016251795489,0.000128460713355443,0.00156154576365019,-0.00196880075526597,0.00119293942563821,"Vitvi01g00042"
0.00079416498126986,0.0010723349364413,0.000999961569753965,-0.00206438590722101,0.00022820001830779,-0.00268109768749166,"Vitvi01g00043"
0.00253114793323146,-0.00156624177415561,0.000432879467865237,5.49256814233502e-05,1.66682783315354e-05,-0.00105918291934563,"Vitvi01g00045"
0.00465913925034549,-0.00439545694984904,-0.00482892349718033,-0.00396688829145342,0.00106319022722484,0.00331205481086437,"Vitvi01g00046"
0.00394337693078549,-0.00094696086910286,-0.00114448413001039,-0.00113437554511799,-0.000714634434401364,-0.00146054843773532,"Vitvi01g00047"
0.00180449903874234,0.0068999131029172,-0.000656393879894832,0.00988572527060436,-0.00119469105567604,-0.00486383674538273,"Vitvi01g00048"
-0.00120561808449702,-0.000678740310956421,0.00212414931274224,0.00523496808621672,0.00384672808675803,-0.000328187652899869,"Vitvi01g00049"
-0.00757212652358458,0.00746892312513106,0.00448457982000409,-0.00632725324501231,-0.00207282493884684,0.00579990087841272,"Vitvi01g00050"
-0.0047129571961314,0.0013556733654834,-0.000764699690533987,0.000234697956607497,-0.000673634075442682,-0.00513851918994204,"Vitvi01g00051"
0.00201006354743277,0.00106118270386731,-4.17392377845861e-05,0.000681153632378576,-0.00059713139730254,-6.56518228706822e-05,"Vitvi01g01841"
-0.0232525534273996,-0.00410120731708693,0.000611416374021726,-0.00974742275183895,-0.00175193902738081,0.00460375502872535,"Vitvi01g00052"
-0.0079934439910399,0.00242319611033496,0.00084670909626663,0.00145293262910966,0.00868024707485388,-0.00359337144696876,"Vitvi01g00053"
-0.00024934953322155,-0.0003720204035556,0.000220986896547185,0.000307959898985034,0.00241245008297727,-0.000441276583461533,"Vitvi01g00054"
-0.0019775181809283,7.6712903180453e-05,-0.00177604918740754,-0.00219053002547439,0.00102146027994793,-0.00689241690099488,"Vitvi01g00055"
0.00492152011127807,0.00553633983926914,-0.00393389286978499,-0.00448792857495374,-0.00407410158108935,0.00380646005399492,"Vitvi01g01842"
-0.00597838204278216,-0.000494318840900261,0.00109235661991162,0.00222435003128239,-0.0011601623780188,-0.00126981067170923,"Vitvi01g00056"
0.0007996784368997,-0.00117518032855136,0.000814157433632955,-0.000523282395157711,-0.00593466080295654,0.00443567059361343,"Vitvi01g00058"
0.00240834054226634,0.000465727364004152,-0.00223412323829206,-0.00663077789950132,-0.00499431294827121,-0.000120789525288263,"Vitvi01g01843"
-0.00526395348054442,0.00142104149610952,0.00378397601538076,-0.000751904686742009,-0.0132064680753347,-0.0062841687242393,"Vitvi01g00059"
0.00323130472529803,0.00502073243529629,-0.00353835871650129,-0.00269714987372555,-0.00367047759618512,0.00221965761892972,"Vitvi01g00060"
-0.0120013202214252,-0.000417589639187553,0.00171471084590836,0.0089970267751516,-0.00701868544965533,7.23450154094019e-05,"Vitvi01g00061"
