"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi14g00668",1586.18302192233,6.6751077371349,6.654048539304,0.238146770788096,27.9519638574226,6.23974683592724e-172,1.53722403049903e-167,3.89305821096705e-125,1.01838509740687e-120,3.03027077056456e-126,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi09g01592",1319.12350099015,5.57501547283911,5.54779268949566,0.25825433993881,21.8539731534718,7.12558262744481e-106,8.77729268048652e-102,3.20088407432863e-72,4.18659632501814e-68,4.50831701833554e-71,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi10g01585",2445.40316547127,-5.53070467256654,-5.50588690312303,0.27288862036488,-20.1885725761404,1.23377714123137e-90,1.0131777883792e-86,9.72140887812748e-62,8.47674449476456e-58,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi00g04449",431.192404629011,5.88693138185394,5.82892963161309,0.376652813244159,15.7113285400085,1.26500189617269e-55,7.79114667852762e-52,3.50689880264146e-39,1.83473931556596e-35,2.61793993688759e-39,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi17g01495",680.194387402857,4.5927927711889,4.54806705686885,0.30162312083215,15.133487808703,9.73937662746393e-52,4.79878565188403e-48,1.23507434144145e-32,4.03853871222086e-29,1.38611269492991e-33,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi12g04563",250.397708439849,-9.042636896218,-8.95217007476841,0.600842041370632,-15.0393464268232,4.05534056369626e-51,1.66512283545369e-47,4.16564601065947e-41,2.72422834982103e-37,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi09g00994",1377.41314627945,1.69460597900527,1.6807938884026,0.11686289203025,14.6268568748489,1.89333919646353e-48,6.66347206343936e-45,1.01469903379069e-09,1.66940327200821e-07,2.37989478949885e-10,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi05g04506",288.555861360031,-5.14415352027588,-5.09393778285726,0.357563810082961,-14.5729603910408,4.17403625931836e-48,1.28539446605709e-44,3.97228799024535e-32,1.15456757263142e-28,0,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi18g04646",349.800421484365,7.15101209243941,7.05484841586961,0.492058364726804,14.3560117158768,9.76894426877293e-47,2.67408567783878e-43,2.48257533946442e-35,9.27738404357854e-32,2.70074993329931e-36,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
"Vitvi18g00878",1529.41845691349,8.32863944479605,8.21087759213748,0.584361716498968,14.2224294627892,6.65034486140368e-46,1.63837896005541e-42,3.09912179112241e-36,1.35116544889952e-32,1.10905897922931e-36,TRUE,TRUE,TRUE,TRUE,"Rpv12+1",24,"Rpv12+1|24"
