"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi07g01736",55.3302833305038,-6.30202227073694,-6.14460193137578,1.53247603217783,-5.04760627218887,4.47379927236226e-07,1.05110323897594e-05,1.08517137946895e-05,0.00060149471316658,6.25921874169108e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi03g00227",410.849627819215,-3.21198312990179,-2.94146713333224,0.685689331576665,-5.04736769378946,4.47938762547513e-07,1.05139245150865e-05,0.000254523778137365,0.00791068711679345,0.000471888953469865,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi07g01829",3198.8207936352,2.4460606262978,2.28075712331607,0.48308203900166,5.04587784001371,4.51443791464499e-07,1.05756186837348e-05,0.00142710147923915,0.0311484718697823,0.000815610464641558,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi05g00448",214.084179822319,-1.56688848914773,-1.46957633196114,0.320970052624173,-5.04399577651832,4.55909366052824e-07,1.06698710897077e-05,0.0340095854334485,0.341302215024622,0.0167017614455915,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g01120",5070.40320629891,-2.67417629101572,-2.45193215977463,0.569179425070131,-5.04371735663422,4.56573580527159e-07,1.06750619423835e-05,0.000795273505485323,0.0197008443565743,0.00117456635868774,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g02006",470.894026109161,-3.94667261734713,-3.54044140465367,0.899190477819157,-5.04193491346532,4.60848048804913e-07,1.07457967668901e-05,8.34683325891641e-05,0.00329470605121184,0.000483092416710182,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g04492",19.5922543584981,-3.60469122796207,-3.31559123320257,0.733813721394855,-5.04189883730064,4.60934960161267e-07,1.07457967668901e-05,0.000134637891975077,0.00481555498694358,0.000130313640838351,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi11g00157",237.882155500709,-1.45208511009212,-1.36048824436879,0.295228903017541,-5.03988326880968,4.65815878166795e-07,1.08491035948712e-05,0.0583131673370974,0.49803881777309,0.0268913894043859,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi01g00556",5685.74426021816,2.760178056152,2.55875190481296,0.556458486144503,5.0348101804788,4.78322573175317e-07,1.11189261735523e-05,0.000662011456319987,0.0169334853079448,0.000515156705406395,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi15g00714",7734.0730778358,-8.47482818001235,-7.56808787884186,1.99467578444418,-5.03421765611191,4.7980427466623e-07,1.11306584793799e-05,4.50291814261407e-06,0.000290311214815098,7.61630538698861e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi08g02330",46.192918641109,-6.47747225949835,-6.08626676349774,1.42458504391026,-5.03399282363105,4.80367661828449e-07,1.11306584793799e-05,1.03699834828949e-05,0.000582015322977474,2.58230165669467e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi12g04498",24.9606447277474,3.88224024241966,3.56840001210636,0.764810252212282,5.03399865293108,4.80353046664913e-07,1.11306584793799e-05,9.29943501942076e-05,0.00360841040321475,6.18288254360159e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi19g04471",1695.87667412554,3.11527381976544,2.8919003008681,0.614903172558872,5.0338712872179,4.80672474429684e-07,1.11306584793799e-05,0.000315411743793549,0.00937051244330689,0.000184517778617618,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g00738",1870.89852479138,-3.75709728849165,-3.38000802829488,0.860467875930094,-5.03161069054513,4.86376158236041e-07,1.12519370297962e-05,0.000111081600398284,0.00416871009017083,0.000574182233684518,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi06g01315",2839.38133583795,-1.97617216112265,-1.81955634406542,0.408618782991271,-5.02978436566306,4.91031752017464e-07,1.13378996597411e-05,0.00648542410603282,0.100846941077359,0.00509053186063219,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi14g01762",606.7371522209,1.08937487532851,1.03820021509857,0.217090820598254,5.02943999603385,4.91914408035823e-07,1.13474213685434e-05,0.339939929261357,1,0.131376345383842,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g04472",242.137650661991,-1.58722365938107,-1.48894887007771,0.325164769457935,-5.02505364608019,5.0329182929358e-07,1.15877180811305e-05,0.0315054609752652,0.322414859895022,0.0155782141865787,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g04420",63.3740722813157,2.2492386133954,2.07576436000335,0.476484240451573,5.02352863910582,5.07306558080657e-07,1.16690180552223e-05,0.0026346414080775,0.0502239754091741,0.00267960038848236,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g00392",1150.74809637814,1.0694054733817,1.02356336788875,0.210163836417473,5.02312625458156,5.08371013079681e-07,1.16823658805711e-05,0.372209959150209,1,0.140744437466379,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi07g01880",117.666371712984,-1.45747366475481,-1.37111537025718,0.292503954474192,-5.02277944901846,5.09290169152647e-07,1.16923525133056e-05,0.0574488246915173,0.493506405207895,0.0244539421153127,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi14g04539",254.223237419324,-1.35443587870023,-1.2742644970407,0.277571737347087,-5.01928435404352,5.18643302457507e-07,1.18957644914422e-05,0.0945118682942544,0.689613005336834,0.0399195262364645,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi07g04470",885.170841873376,-1.39063976865317,-1.30422712455364,0.288532336482207,-5.01776630871776,5.22757100970692e-07,1.1956024729215e-05,0.0793402535018727,0.616290186608306,0.0355521092478258,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi16g00936",5365.87223138009,1.26738786983368,1.20455500056272,0.248649881790969,5.01783258170419,5.22576850760334e-07,1.1956024729215e-05,0.14488186865708,0.897739973545292,0.0520613785920311,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi06g01667",1474.19966653703,-1.58638829764916,-1.48481561000827,0.324422003485241,-5.01425949150726,5.32380983058005e-07,1.21646029736805e-05,0.0319084152367754,0.324951475380106,0.0158093244693417,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g02171",84.2161431232183,4.34912282301057,3.99362446201001,0.886241322105624,5.01381234876554,5.33620304368544e-07,1.21813853586647e-05,5.64670754693494e-05,0.00240238264907161,5.66241549281978e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi04g04340",354.117757418346,-1.85924474156744,-1.73660470562947,0.375092042783281,-5.0131622004482,5.35427249311651e-07,1.22110813786775e-05,0.0102568009497434,0.142248760662078,0.00557789001531503,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi05g01291",207.459232817446,-2.00753312421448,-1.86009607007593,0.421369817709569,-5.01142657778217,5.40279976947028e-07,1.23101185682293e-05,0.00594966464970762,0.0946226236257106,0.00471601956999928,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi08g00825",316.803619192198,-1.98056241992486,-1.83172499710252,0.421579361519534,-5.01032813046191,5.43373071749791e-07,1.23689140077837e-05,0.00655847892956565,0.101668553763871,0.00541618802808803,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi07g00523",8485.95144271294,2.58011007777021,2.39863519099631,0.518285113729835,5.00577155716523,5.5638711844589e-07,1.26413039368935e-05,0.00108604946745294,0.0250989226191514,0.000716745452011643,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g00004",1473.63347839918,-3.15647140520629,-2.8910521512545,0.672042475054051,-5.00269461587876,5.65344610760291e-07,1.28086386037888e-05,0.000315654789988902,0.00937051244330689,0.000494540504014275,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi08g02189",4468.54112293546,-1.31578192947971,-1.24236128715169,0.26805559327538,-5.00104916296026,5.70191690424837e-07,1.29063370527776e-05,0.115025012281737,0.782942314242552,0.0457103782285321,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi05g00681",47.7118249493809,5.16476286503652,4.77273671751618,1.02684396314998,4.99908548529714,5.76028623569044e-07,1.30140399420388e-05,2.77518696155574e-05,0.00132671871782107,1.7150094570946e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi04g00991",305.845092471014,-7.1584456459048,-6.77923701940617,1.66479815467829,-4.99693665330556,5.82481919061081e-07,1.313523946264e-05,8.58899219028717e-06,0.00049760741850825,4.00027428860586e-05,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi18g00842",612.191435226054,-1.96030523770941,-1.81123836023396,0.418302525457517,-4.99646108118215,5.83919530361142e-07,1.31553635369598e-05,0.0071896990017775,0.108902284157044,0.00610173020610187,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi10g01620",192.139150361689,-8.311567915758,-10.1636060620207,3.68749837305452,-4.99560271735203,5.86522948750708e-07,1.32016905134383e-05,5.56077990603126e-06,0.000347811567057836,0.00133297840001519,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi19g00041",10478.2014691008,-2.94154350612081,-2.67428241511721,0.649778026052992,-4.9945249298386,5.8980772785152e-07,1.32632531829723e-05,0.000489316745009197,0.0132010517559134,0.00105576787463022,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi12g01984",259.096166192552,-8.91838143434798,-10.9793708528881,3.98333871588614,-4.9942737754322,5.90575716334103e-07,1.32681577834503e-05,4.63304936562055e-06,0.000297177023594804,0.00128670623149595,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi13g01676",52.1361953764956,-7.78744255644327,-8.97903864091635,3.24872823664838,-4.98940472611538,6.05656359099555e-07,1.3569064334924e-05,6.85616331142362e-06,0.000412419546178075,0.00146021581590544,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi05g01366",11700.1877109132,-2.529570461481,-2.30815289274107,0.557121975617772,-4.98899027208229,6.06957030152694e-07,1.35855901489373e-05,0.00127761802641955,0.0286313971981223,0.00205588779182036,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi06g04387",1030.01145146191,4.97935146497842,4.40185716968525,1.19469235782821,4.98743227427007,6.11870583180715e-07,1.36807697057599e-05,3.36262944426156e-05,0.00155178011210572,0.000424614985521601,TRUE,TRUE,TRUE,TRUE,"Rpv12+1+3",6,"Rpv12+1+3|6"
"Vitvi05g01334",462.382097645291,1.36492700237767,1.32514978541347,0.27487403785481,4.98651349538379,6.14786140465369e-07,1.37226408726077e-05,0.0912339618874245,0.672132064956754,0.0287935361745419,FALSE,TRUE,TRUE,FALSE,"Rpv12+1+3",6,"Rpv12+1+3|6"
