"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi10g00232",859.879090481312,-1.15550136647615,-1.05991025004514,0.306903717895855,-3.78769911199246,0.00015204882461716,0.00132208507718467,0.305120717589284,1,0.133948832797406,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi13g04492",19.5922543584981,-2.48631655829139,-2.15585847078192,0.677663493035536,-3.78719401946248,0.000152358130272626,0.00132429730740208,0.0117877491713764,0.164349396214721,0.0107063247113786,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi03g00600",613.986311397618,-1.29822390004945,-1.17507579679709,0.347362986377435,-3.78587030387305,0.000153171552155646,0.0013304090647817,0.192238148162327,1,0.0899095347967632,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi16g04134",12.6001061320991,-7.23141940690094,-7.01913940609945,3.20232451555552,-3.78543858473897,0.000153437725952813,0.00133176219047317,0.000561412106418278,0.0178448351198702,0.00697021538691757,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi14g03047",499.284230019834,1.44900712593321,1.29577023629808,0.392703024667334,3.78547121705097,0.000153417591498616,0.00133176219047317,0.120395385506328,0.786747990433689,0.0641075335130778,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi19g00283",1409.33829949023,2.6747127795504,2.19958460470604,0.85131628639195,3.78534464585368,0.000153495701046839,0.001331786325264,0.00889148228266679,0.135035767929358,0.0209337430656345,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi05g00953",2301.20348704945,2.37254775135133,2.0170017402414,0.715745862461523,3.78476506802538,0.000153853848196351,0.00133393442440883,0.0142791110343568,0.187640100995023,0.0202592171194166,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi13g01949",71.1337505745937,3.54732496525439,2.88344190099678,1.15018729785182,3.78453304368959,0.000153997446806802,0.00133469985416714,0.00328784636187129,0.0663023168461954,0.0122546656158374,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi13g01798",88.1915745097365,1.89477414588554,1.65090760090548,0.534949974889262,3.78408155229718,0.000154277234054556,0.00133664466086261,0.0369714375874745,0.35994096337231,0.0300155836322779,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi06g01594",571.875461590691,2.66625587063384,2.25050698554142,0.809054816833528,3.78319192172457,0.000154829935059022,0.00134095172399108,0.00903276370312374,0.136566399338191,0.0158575861636982,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
