"gene","Rpv12_pattern","Rpv12_1_pattern","Rpv12_1_3_pattern","combined_pattern"
"Vitvi00g00444","EED","DED","EED","EED|DED|EED"
"Vitvi00g00447","EEE","DDD","EEE","EEE|DDD|EEE"
"Vitvi00g00786","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi00g00859","UEE","UEE","DDE","UEE|UEE|DDE"
"Vitvi00g01805","UUE","UUE","UUE","UUE|UUE|UUE"
"Vitvi00g04001","DEE","EEE","DEE","DEE|EEE|DEE"
"Vitvi00g04005","UUE","EEE","UUU","UUE|EEE|UUU"
"Vitvi00g04006","UUU","EUU","UUU","UUU|EUU|UUU"
"Vitvi00g04011","EEE","UEU","UUU","EEE|UEU|UUU"
"Vitvi00g04017","DDE","DDD","DDD","DDE|DDD|DDD"
"Vitvi00g04018","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi00g04019","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi00g04022","DEE","DDD","DDD","DEE|DDD|DDD"
"Vitvi00g04024","EEE","DDD","DDD","EEE|DDD|DDD"
"Vitvi00g04030","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi00g04032","UEE","UEE","EDE","UEE|UEE|EDE"
"Vitvi00g04033","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04035","EEE","DDD","DDD","EEE|DDD|DDD"
"Vitvi00g04037","EEE","DDD","DDD","EEE|DDD|DDD"
"Vitvi00g04039","DEE","EUE","DEE","DEE|EUE|DEE"
"Vitvi00g04040","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi00g04044","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04045","DEE","EEE","EUE","DEE|EEE|EUE"
"Vitvi00g04049","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi00g04059","EEU","EEE","EEE","EEU|EEE|EEE"
"Vitvi00g04060","EEE","EEE","UEE","EEE|EEE|UEE"
"Vitvi00g04069","EEE","EED","EEE","EEE|EED|EEE"
"Vitvi00g04076","EEE","EEE","EEU","EEE|EEE|EEU"
"Vitvi00g04123","EEE","EDE","EEE","EEE|EDE|EEE"
"Vitvi00g04146","EEE","EEE","EUE","EEE|EEE|EUE"
"Vitvi00g04213","EEE","EEE","EUE","EEE|EEE|EUE"
"Vitvi00g04231","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi00g04236","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi00g04245","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi00g04249","UEE","UEU","UUU","UEE|UEU|UUU"
"Vitvi00g04250","EDE","EDE","EDE","EDE|EDE|EDE"
"Vitvi00g04251","UEE","UUU","UUU","UEE|UUU|UUU"
"Vitvi00g04252","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi00g04274","DDD","DDD","DDD","DDD|DDD|DDD"
"Vitvi00g04275","DDD","DDD","DDD","DDD|DDD|DDD"
"Vitvi00g04280","UEE","EEE","EDE","UEE|EEE|EDE"
"Vitvi00g04303","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04304","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi00g04313","UUU","UUU","EUU","UUU|UUU|EUU"
"Vitvi00g04315","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi00g04316","EEE","EDE","DDE","EEE|EDE|DDE"
"Vitvi00g04336","EEE","EUE","EEE","EEE|EUE|EEE"
"Vitvi00g04337","UEE","EEE","EDD","UEE|EEE|EDD"
"Vitvi00g04338","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi00g04340","EEE","DEE","EEE","EEE|DEE|EEE"
"Vitvi00g04359","EEE","EED","EEE","EEE|EED|EEE"
"Vitvi00g04360","EEU","UEU","UUE","EEU|UEU|UUE"
"Vitvi00g04361","UEU","UEE","EEE","UEU|UEE|EEE"
"Vitvi00g04369","UEE","UEE","DDE","UEE|UEE|DDE"
"Vitvi00g04376","UEE","EED","EEE","UEE|EED|EEE"
"Vitvi00g04411","EED","EED","EED","EED|EED|EED"
"Vitvi00g04412","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi00g04449","UUU","UUU","UUU","UUU|UUU|UUU"
"Vitvi00g04454","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi00g04463","UUE","UUE","UUE","UUE|UUE|UUE"
"Vitvi00g04469","UEE","EEE","DEE","UEE|EEE|DEE"
"Vitvi00g04497","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi00g04498","EED","DDD","EEE","EED|DDD|EEE"
"Vitvi00g04499","DED","DDD","EEE","DED|DDD|EEE"
"Vitvi00g04500","EED","DDD","EEE","EED|DDD|EEE"
"Vitvi00g04501","EED","DDD","EEE","EED|DDD|EEE"
"Vitvi00g04504","EED","EEE","EED","EED|EEE|EED"
"Vitvi00g04505","EEU","EEU","EEU","EEU|EEU|EEU"
"Vitvi00g04507","UEU","UEE","UEU","UEU|UEE|UEU"
"Vitvi00g04508","EED","EED","EED","EED|EED|EED"
"Vitvi00g04509","EEE","EED","EDD","EEE|EED|EDD"
"Vitvi00g04522","EDE","DDE","DDE","EDE|DDE|DDE"
"Vitvi00g04527","EEU","EEE","EEU","EEU|EEE|EEU"
"Vitvi00g04555","DED","EED","EED","DED|EED|EED"
"Vitvi00g04557","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi00g04563","UEE","EED","EEE","UEE|EED|EEE"
"Vitvi00g04564","UEE","EED","EDD","UEE|EED|EDD"
"Vitvi00g04567","EEE","UEE","EDE","EEE|UEE|EDE"
"Vitvi00g04570","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi00g04581","UEU","EEU","EEE","UEU|EEU|EEE"
"Vitvi00g04582","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04584","EED","DDD","DDD","EED|DDD|DDD"
"Vitvi00g04587","UUU","UEU","UUU","UUU|UEU|UUU"
"Vitvi00g04594","EEE","DDD","EUE","EEE|DDD|EUE"
"Vitvi00g04596","EEE","EEU","EEE","EEE|EEU|EEE"
"Vitvi00g04598","EEE","UUU","EEE","EEE|UUU|EEE"
"Vitvi00g04599","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04602","EEE","DDD","DDD","EEE|DDD|DDD"
"Vitvi00g04609","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi00g04610","UEE","UEE","UEE","UEE|UEE|UEE"
"Vitvi00g04617","EEE","UED","EEE","EEE|UED|EEE"
"Vitvi00g04625","DDE","EEE","DDD","DDE|EEE|DDD"
"Vitvi00g04629","EED","EED","EEE","EED|EED|EEE"
"Vitvi00g04632","UEU","EEE","UEU","UEU|EEE|UEU"
"Vitvi00g04634","EED","DDD","EEE","EED|DDD|EEE"
"Vitvi00g04636","DEE","EEE","DDD","DEE|EEE|DDD"
"Vitvi00g04649","EEU","EEE","EEU","EEU|EEE|EEU"
"Vitvi00g04653","EUE","EUU","UUU","EUE|EUU|UUU"
"Vitvi00g04664","EEE","EED","DEE","EEE|EED|DEE"
"Vitvi00g04671","EED","EED","EED","EED|EED|EED"
"Vitvi00g04688","EEE","DDD","DDD","EEE|DDD|DDD"
"Vitvi00g04696","EEE","EEE","DDD","EEE|EEE|DDD"
"Vitvi00g04704","UUU","UUU","UUU","UUU|UUU|UUU"
"Vitvi00g04705","UEU","UEE","EEE","UEU|UEE|EEE"
"Vitvi00g04706","UUU","UUU","UUU","UUU|UUU|UUU"
"Vitvi00g04707","EUU","UUU","UEU","EUU|UUU|UEU"
"Vitvi00g04708","UEU","UEU","UEU","UEU|UEU|UEU"
"Vitvi00g04709","UEE","EED","EED","UEE|EED|EED"
"Vitvi00g04714","EDE","DDE","EDD","EDE|DDE|EDD"
"Vitvi00g04722","DED","EEE","EDD","DED|EEE|EDD"
"Vitvi00g04728","EED","DDD","EEE","EED|DDD|EEE"
"Vitvi00g04731","EED","UED","EED","EED|UED|EED"
"Vitvi00g04735","EUE","EUE","UUE","EUE|EUE|UUE"
"Vitvi00g04737","DDD","DDD","DDD","DDD|DDD|DDD"
"Vitvi00g04742","DEE","EEE","DDD","DEE|EEE|DDD"
"Vitvi00g04744","EEE","UEE","EDD","EEE|UEE|EDD"
"Vitvi00g04747","EEE","DDD","EED","EEE|DDD|EED"
"Vitvi00g04748","UEU","UEE","EDE","UEU|UEE|EDE"
"Vitvi00g04752","UUE","UUU","UUU","UUE|UUU|UUU"
"Vitvi00g04763","EDE","EDD","DDD","EDE|EDD|DDD"
"Vitvi00g04765","EEE","EEE","EEU","EEE|EEE|EEU"
"Vitvi00g04777","EED","DED","DDE","EED|DED|DDE"
"Vitvi00g04778","EEU","EEE","EEU","EEU|EEE|EEU"
"Vitvi00g04787","EEU","EEU","EEU","EEU|EEU|EEU"
"Vitvi00g04799","UED","EED","DDD","UED|EED|DDD"
"Vitvi00g04809","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi00g04812","EEU","EEE","DDE","EEU|EEE|DDE"
"Vitvi00g04814","EEU","EUU","EEU","EEU|EUU|EEU"
"Vitvi00g04817","EEE","DDE","EEE","EEE|DDE|EEE"
"Vitvi00g04822","EEE","EEE","EUE","EEE|EEE|EUE"
"Vitvi00g04823","DEE","DEE","DEE","DEE|DEE|DEE"
"Vitvi00g04831","EDD","EEE","EEE","EDD|EEE|EEE"
"Vitvi00g04837","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04839","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi00g04849","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi00g04860","UEE","EEE","EED","UEE|EEE|EED"
"Vitvi00g04867","DEE","EEE","DED","DEE|EEE|DED"
"Vitvi00g04868","EEE","EEE","DDD","EEE|EEE|DDD"
"Vitvi00g04869","EDE","UEE","EDE","EDE|UEE|EDE"
"Vitvi00g04874","EEU","EEE","EEE","EEU|EEE|EEE"
"Vitvi00g04881","UEU","UUE","EEE","UEU|UUE|EEE"
"Vitvi01g00002","UEE","UEE","DDD","UEE|UEE|DDD"
"Vitvi01g00012","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00025","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00033","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi01g00034","EED","EEE","EUE","EED|EEE|EUE"
"Vitvi01g00036","EED","EED","EED","EED|EED|EED"
"Vitvi01g00046","EUE","EUU","EUU","EUE|EUU|EUU"
"Vitvi01g00048","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi01g00050","EEE","DEE","DDD","EEE|DEE|DDD"
"Vitvi01g00052","UEE","UEE","DDD","UEE|UEE|DDD"
"Vitvi01g00061","UED","EEE","EDD","UED|EEE|EDD"
"Vitvi01g00064","EEE","DEE","DEE","EEE|DEE|DEE"
"Vitvi01g00065","EEE","EUU","EEE","EEE|EUU|EEE"
"Vitvi01g00066","DEE","EUU","EUE","DEE|EUU|EUE"
"Vitvi01g00067","EDE","EEU","EEU","EDE|EEU|EEU"
"Vitvi01g00075","EEE","DEE","EEE","EEE|DEE|EEE"
"Vitvi01g00083","DDD","DDD","DDD","DDD|DDD|DDD"
"Vitvi01g00088","DDD","DDD","DDD","DDD|DDD|DDD"
"Vitvi01g00090","EEE","DEE","EEE","EEE|DEE|EEE"
"Vitvi01g00091","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00095","EDD","EED","DDE","EDD|EED|DDE"
"Vitvi01g00103","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00104","UEE","UEE","DDE","UEE|UEE|DDE"
"Vitvi01g00129","EEE","EED","EED","EEE|EED|EED"
"Vitvi01g00145","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00147","EEE","EEE","EEU","EEE|EEE|EEU"
"Vitvi01g00148","EDE","UEE","DDE","EDE|UEE|DDE"
"Vitvi01g00156","DEE","EEU","EEU","DEE|EEU|EEU"
"Vitvi01g00157","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00160","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00162","EEE","EEE","EUE","EEE|EEE|EUE"
"Vitvi01g00181","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00187","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi01g00188","EEE","EUE","EEE","EEE|EUE|EEE"
"Vitvi01g00191","EED","UED","EEE","EED|UED|EEE"
"Vitvi01g00193","EED","EED","UUE","EED|EED|UUE"
"Vitvi01g00199","EED","EED","EEE","EED|EED|EEE"
"Vitvi01g00203","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi01g00211","EDE","EEE","EEE","EDE|EEE|EEE"
"Vitvi01g00214","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00217","UED","UEE","EDE","UED|UEE|EDE"
"Vitvi01g00218","EEU","EDE","DDE","EEU|EDE|DDE"
"Vitvi01g00222","UEE","EEE","EED","UEE|EEE|EED"
"Vitvi01g00226","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00228","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi01g00230","UEE","EEE","EED","UEE|EEE|EED"
"Vitvi01g00232","EDE","UEE","EEE","EDE|UEE|EEE"
"Vitvi01g00233","EDE","EEE","EEE","EDE|EEE|EEE"
"Vitvi01g00234","EEE","UEE","EED","EEE|UEE|EED"
"Vitvi01g00237","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00241","EEE","UEE","DDD","EEE|UEE|DDD"
"Vitvi01g00243","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00246","EEE","EEE","UUU","EEE|EEE|UUU"
"Vitvi01g00253","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi01g00258","UEE","UEE","DDD","UEE|UEE|DDD"
"Vitvi01g00264","DDE","EEU","EEU","DDE|EEU|EEU"
"Vitvi01g00267","UED","UEE","EEE","UED|UEE|EEE"
"Vitvi01g00271","EED","UUU","UUE","EED|UUU|UUE"
"Vitvi01g00277","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi01g00279","EEE","UUE","EEE","EEE|UUE|EEE"
"Vitvi01g00280","UEE","EEE","EDD","UEE|EEE|EDD"
"Vitvi01g00282","EEE","DEE","EUE","EEE|DEE|EUE"
"Vitvi01g00284","UEE","UEE","EDE","UEE|UEE|EDE"
"Vitvi01g00286","UEU","UUU","EED","UEU|UUU|EED"
"Vitvi01g00290","UEE","UEE","DDD","UEE|UEE|DDD"
"Vitvi01g00291","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi01g00299","EEE","UEE","UUE","EEE|UEE|UUE"
"Vitvi01g00300","DED","EUE","UUE","DED|EUE|UUE"
"Vitvi01g00305","EEE","UEU","EEE","EEE|UEU|EEE"
"Vitvi01g00317","EEE","EUE","UUE","EEE|EUE|UUE"
"Vitvi01g00318","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi01g00319","EEE","DEE","EED","EEE|DEE|EED"
"Vitvi01g00320","UEE","EED","EEE","UEE|EED|EEE"
"Vitvi01g00325","UEE","UEE","DDE","UEE|UEE|DDE"
"Vitvi01g00329","UEE","UEE","EDE","UEE|UEE|EDE"
"Vitvi01g00331","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi01g00332","UEE","EEE","EED","UEE|EEE|EED"
"Vitvi01g00337","EDE","UEE","DDD","EDE|UEE|DDD"
"Vitvi01g00340","EEE","EDE","EEE","EEE|EDE|EEE"
"Vitvi01g00341","EEE","EED","EEE","EEE|EED|EEE"
"Vitvi01g00346","EEU","UEE","EDE","EEU|UEE|EDE"
"Vitvi01g00347","EEE","EED","DEE","EEE|EED|DEE"
"Vitvi01g00355","EEE","EEU","EEE","EEE|EEU|EEE"
"Vitvi01g00358","DUE","EEE","EUE","DUE|EEE|EUE"
"Vitvi01g00371","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi01g00379","DEE","UUE","EEE","DEE|UUE|EEE"
"Vitvi01g00381","DEE","EEE","EUE","DEE|EEE|EUE"
"Vitvi01g00384","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00388","DED","UUU","EEE","DED|UUU|EEE"
"Vitvi01g00391","EEE","EEE","EDD","EEE|EEE|EDD"
"Vitvi01g00393","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00394","EDE","EEE","DDD","EDE|EEE|DDD"
"Vitvi01g00397","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00402","UEE","UEE","EDD","UEE|UEE|EDD"
"Vitvi01g00403","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00407","DED","EEE","EEE","DED|EEE|EEE"
"Vitvi01g00408","EEE","EDE","EEU","EEE|EDE|EEU"
"Vitvi01g00412","EEE","EEE","EUE","EEE|EEE|EUE"
"Vitvi01g00418","EEE","EEE","EEU","EEE|EEE|EEU"
"Vitvi01g00437","EED","DEE","EEU","EED|DEE|EEU"
"Vitvi01g00441","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00442","EEE","DEE","DEE","EEE|DEE|DEE"
"Vitvi01g00449","EEE","DEE","EEE","EEE|DEE|EEE"
"Vitvi01g00457","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00458","EDE","EEE","EED","EDE|EEE|EED"
"Vitvi01g00463","DDD","EEE","DDD","DDD|EEE|DDD"
"Vitvi01g00464","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi01g00465","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi01g00466","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00467","DEE","EEE","DEE","DEE|EEE|DEE"
"Vitvi01g00477","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00481","EEE","UUE","EUE","EEE|UUE|EUE"
"Vitvi01g00483","EEE","UUU","EEE","EEE|UUU|EEE"
"Vitvi01g00491","EEE","UUE","EEE","EEE|UUE|EEE"
"Vitvi01g00497","EDE","EEE","DDE","EDE|EEE|DDE"
"Vitvi01g00499","DEE","DEE","EEU","DEE|DEE|EEU"
"Vitvi01g00501","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00503","EEE","EDD","DDD","EEE|EDD|DDD"
"Vitvi01g00508","EED","EUE","UUU","EED|EUE|UUU"
"Vitvi01g00513","UEE","EEE","EED","UEE|EEE|EED"
"Vitvi01g00518","UEE","EDE","EED","UEE|EDE|EED"
"Vitvi01g00519","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00521","UEE","UEE","EDE","UEE|UEE|EDE"
"Vitvi01g00525","EED","UEE","EEE","EED|UEE|EEE"
"Vitvi01g00528","UEE","EEE","DEE","UEE|EEE|DEE"
"Vitvi01g00536","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi01g00537","EEE","EEE","EDD","EEE|EEE|EDD"
"Vitvi01g00539","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00541","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00542","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00543","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00552","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00555","EEE","EUE","EUE","EEE|EUE|EUE"
"Vitvi01g00556","EEE","EUE","UUU","EEE|EUE|UUU"
"Vitvi01g00557","EED","DED","EEE","EED|DED|EEE"
"Vitvi01g00558","EDD","EED","DDD","EDD|EED|DDD"
"Vitvi01g00567","EDE","EEE","DDD","EDE|EEE|DDD"
"Vitvi01g00568","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi01g00578","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00587","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00588","EUE","EEE","UUE","EUE|EEE|UUE"
"Vitvi01g00593","UEE","UEE","DDD","UEE|UEE|DDD"
"Vitvi01g00598","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00608","EEE","EEE","DDD","EEE|EEE|DDD"
"Vitvi01g00609","EEE","EDE","EEE","EEE|EDE|EEE"
"Vitvi01g00610","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00611","UDE","EEE","EDE","UDE|EEE|EDE"
"Vitvi01g00612","UED","EED","DDD","UED|EED|DDD"
"Vitvi01g00617","EEU","EEE","EEE","EEU|EEE|EEE"
"Vitvi01g00619","EEE","DDE","EEE","EEE|DDE|EEE"
"Vitvi01g00621","DEE","EEE","UUE","DEE|EEE|UUE"
"Vitvi01g00632","UED","EEE","UEE","UED|EEE|UEE"
"Vitvi01g00634","EEE","EEE","EUE","EEE|EEE|EUE"
"Vitvi01g00635","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00636","UEE","EEE","EDE","UEE|EEE|EDE"
"Vitvi01g00638","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00652","EEE","EEE","EEU","EEE|EEE|EEU"
"Vitvi01g00653","EEE","EUE","EUE","EEE|EUE|EUE"
"Vitvi01g00655","EED","EED","EEE","EED|EED|EEE"
"Vitvi01g00656","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00672","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00674","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00676","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi01g00682","EED","EEE","EEE","EED|EEE|EEE"
"Vitvi01g00687","UUE","EED","EEE","UUE|EED|EEE"
"Vitvi01g00693","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00695","EEE","EEE","DDD","EEE|EEE|DDD"
"Vitvi01g00697","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00698","EEE","EED","EED","EEE|EED|EED"
"Vitvi01g00705","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00710","UEE","EEE","EDE","UEE|EEE|EDE"
"Vitvi01g00711","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi01g00714","DEE","DEE","EEE","DEE|DEE|EEE"
"Vitvi01g00729","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00732","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00733","EEU","UEU","EEE","EEU|UEU|EEE"
"Vitvi01g00735","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00738","EEE","DEE","EEE","EEE|DEE|EEE"
"Vitvi01g00739","EEE","UEE","EDD","EEE|UEE|EDD"
"Vitvi01g00745","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi01g00747","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00752","EEE","EEE","UUE","EEE|EEE|UUE"
"Vitvi01g00770","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi01g00775","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00781","UEE","EEU","DDE","UEE|EEU|DDE"
"Vitvi01g00784","EDE","EEE","DDD","EDE|EEE|DDD"
"Vitvi01g00790","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00792","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00793","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00799","UEE","UEE","EDE","UEE|UEE|EDE"
"Vitvi01g00801","EEE","UEE","DDE","EEE|UEE|DDE"
"Vitvi01g00803","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00810","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00812","DDD","DDD","DED","DDD|DDD|DED"
"Vitvi01g00813","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00815","EEU","DEU","EEE","EEU|DEU|EEE"
"Vitvi01g00817","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi01g00822","DDE","EEE","EEE","DDE|EEE|EEE"
"Vitvi01g00825","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00833","EDE","EEE","EED","EDE|EEE|EED"
"Vitvi01g00842","UEE","EEE","DDD","UEE|EEE|DDD"
"Vitvi01g00845","DDE","EEU","DDD","DDE|EEU|DDD"
"Vitvi01g00849","DEE","EUE","EEE","DEE|EUE|EEE"
"Vitvi01g00850","DDD","EEE","EED","DDD|EEE|EED"
"Vitvi01g00857","EDE","EEU","DDE","EDE|EEU|DDE"
"Vitvi01g00859","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00860","EEE","UEE","DDD","EEE|UEE|DDD"
"Vitvi01g00864","UEU","UEU","DDE","UEU|UEU|DDE"
"Vitvi01g00865","EEE","EEU","EEE","EEE|EEU|EEE"
"Vitvi01g00877","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi01g00882","EEE","EEE","DED","EEE|EEE|DED"
"Vitvi01g00883","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00889","DED","EEE","EEE","DED|EEE|EEE"
"Vitvi01g00893","UEE","EEE","UEU","UEE|EEE|UEU"
"Vitvi01g00900","UEE","UEE","EDD","UEE|UEE|EDD"
"Vitvi01g00906","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00907","EED","EEE","UEE","EED|EEE|UEE"
"Vitvi01g00909","EEE","EED","EED","EEE|EED|EED"
"Vitvi01g00911","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00918","DED","EEE","EEU","DED|EEE|EEU"
"Vitvi01g00921","UEE","UEE","EEE","UEE|UEE|EEE"
"Vitvi01g00932","EEE","EEU","EEE","EEE|EEU|EEE"
"Vitvi01g00940","EUE","EUE","UUE","EUE|EUE|UUE"
"Vitvi01g00942","EUE","EEE","EUE","EUE|EEE|EUE"
"Vitvi01g00944","EDD","UEE","DDE","EDD|UEE|DDE"
"Vitvi01g00953","EUD","EEE","EEE","EUD|EEE|EEE"
"Vitvi01g00955","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi01g00958","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00964","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g00968","UEE","EEE","EEE","UEE|EEE|EEE"
"Vitvi01g00977","EEE","EEE","DEE","EEE|EEE|DEE"
"Vitvi01g00979","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g00989","DEE","EEE","EEE","DEE|EEE|EEE"
"Vitvi01g00994","UEE","UEE","DDE","UEE|UEE|DDE"
"Vitvi01g00995","EDE","UEE","EDE","EDE|UEE|EDE"
"Vitvi01g01006","EDD","EEU","DDD","EDD|EEU|DDD"
"Vitvi01g01010","EEE","EEU","EEE","EEE|EEU|EEE"
"Vitvi01g01019","DED","EEE","EEE","DED|EEE|EEE"
"Vitvi01g01021","DED","EUE","UUE","DED|EUE|UUE"
"Vitvi01g01027","UED","EED","EEE","UED|EED|EEE"
"Vitvi01g01028","EEU","UEU","DDE","EEU|UEU|DDE"
"Vitvi01g01037","EUE","UUU","UUU","EUE|UUU|UUU"
"Vitvi01g01038","EUD","UUU","UUU","EUD|UUU|UUU"
"Vitvi01g01048","DEE","DEU","EEU","DEE|DEU|EEU"
"Vitvi01g01071","EEE","EEU","EDE","EEE|EEU|EDE"
"Vitvi01g01072","EEE","EEE","DDE","EEE|EEE|DDE"
"Vitvi01g01121","EEE","EEE","EDE","EEE|EEE|EDE"
"Vitvi01g01132","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi01g01133","UEE","UEE","UEE","UEE|UEE|UEE"
"Vitvi01g01134","EEE","EEE","EED","EEE|EEE|EED"
"Vitvi01g01165","EEU","EEE","EEE","EEU|EEE|EEE"
"Vitvi01g01173","EEE","UEE","EEE","EEE|UEE|EEE"
"Vitvi01g01236","UEE","UEU","EEU","UEE|UEU|EEU"
